 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25
1,24.699,23.947,26.811,30.284,29.576,23.981,25.657,26.134,28.329,22.340,29.560,19.188,24.290,19.648,41.143,25.281,25.222,22.906,26.382,22.233,27.866,28.637,23.780,23.913,25.815
2,24.763,23.962,26.826,30.334,29.603,23.963,25.657,26.140,28.359,23.075,29.527,19.205,24.273,19.660,41.160,25.268,25.208,22.922,26.346,22.217,27.906,28.590,23.719,23.924,25.819
3,24.737,23.962,26.808,30.303,29.590,23.985,25.646,26.149,28.313,22.769,29.596,19.207,24.285,19.655,41.150,25.304,25.177,22.890,26.386,22.242,27.908,28.599,23.692,23.946,25.794
4,24.681,23.922,26.812,30.249,29.588,23.987,25.616,26.118,28.280,22.133,29.556,19.227,24.257,19.681,41.114,25.308,25.129,22.863,26.429,22.217,27.860,28.606,23.669,23.909,25.779
5,24.668,23.920,26.811,30.280,29.605,23.926,25.610,26.117,28.335,21.746,29.631,19.194,24.282,19.616,41.132,25.297,25.177,22.898,26.375,22.213,27.866,28.602,23.724,23.933,25.775
6,24.688,23.944,26.764,30.281,29.577,23.913,25.583,26.057,28.393,21.510,29.600,19.193,24.249,19.647,41.097,25.290,25.169,22.885,26.383,22.208,27.938,28.603,23.693,23.939,25.808
7,24.670,23.906,26.766,30.295,29.520,23.897,25.622,26.098,28.384,21.294,29.573,19.187,24.266,19.662,41.069,25.264,25.168,22.913,26.382,22.209,27.945,28.602,23.677,23.943,25.820
8,24.678,23.873,26.727,30.298,29.528,23.897,25.592,26.070,28.308,21.155,29.581,19.176,24.238,19.645,41.062,25.255,25.121,22.878,26.318,22.186,27.884,28.569,23.652,23.927,25.764
9,24.646,23.880,26.702,30.236,29.463,23.843,25.544,26.029,28.269,20.969,29.527,19.160,24.201,19.611,40.982,25.223,25.152,22.866,26.338,22.162,27.805,28.537,23.602,23.860,25.742
10,24.635,23.900,26.765,30.240,29.491,23.903,25.561,26.037,28.313,20.923,29.530,19.190,24.211,19.625,41.009,25.236,25.129,22.878,26.279,22.195,27.844,28.544,23.629,23.874,25.753
11,24.685,23.868,26.806,30.247,29.538,23.949,25.588,26.078,28.266,20.833,29.531,19.171,24.264,19.626,41.056,25.262,25.157,22.872,26.371,22.212,27.850,28.542,23.657,23.899,25.771
12,24.673,23.861,26.736,30.250,29.512,23.944,25.587,26.051,28.220,20.790,29.525,19.194,24.256,19.620,41.031,25.281,25.174,22.893,26.378,22.215,27.838,28.541,23.620,23.926,25.750
13,24.646,23.843,26.781,30.224,29.462,23.872,25.537,26.019,28.184,20.667,29.540,19.167,24.259,19.597,40.979,25.252,25.133,22.851,26.337,22.170,27.801,28.519,23.622,23.891,25.745
14,24.583,23.900,26.771,30.229,29.454,23.858,25.556,26.037,28.168,20.611,29.518,19.121,24.216,19.605,40.947,25.264,25.094,22.878,26.368,22.170,27.780,28.520,23.611,23.868,25.731
15,24.597,23.910,26.769,30.192,29.477,23.819,25.505,26.041,28.172,20.654,29.462,19.136,24.188,19.575,40.903,25.183,25.069,22.814,26.309,22.144,27.750,28.452,23.599,23.846,25.727
16,24.618,23.953,26.745,30.236,29.456,23.921,25.558,26.018,28.167,20.826,29.487,19.163,24.239,19.568,40.928,25.211,25.097,22.890,26.356,22.170,27.813,28.510,23.614,23.882,25.739
17,24.623,23.896,26.751,30.214,29.459,23.914,25.537,25.988,28.131,20.759,29.458,19.132,24.188,19.601,40.917,25.222,25.046,22.865,26.341,22.148,27.791,28.474,23.623,23.871,25.707
18,24.620,23.939,26.699,30.244,29.470,23.897,25.547,26.013,28.149,20.836,29.480,19.158,24.221,19.587,40.916,25.201,25.037,22.834,26.370,22.159,27.785,28.529,23.625,23.873,25.706
19,24.617,23.929,26.705,30.220,29.462,23.867,25.518,25.977,28.114,20.902,29.523,19.151,24.186,19.497,40.927,25.178,25.027,22.805,26.277,22.141,27.799,28.473,23.611,23.850,25.693
20,24.554,23.898,26.642,30.181,29.392,23.858,25.491,25.984,28.079,20.962,29.450,19.117,24.152,19.509,40.838,25.186,24.979,22.781,26.267,22.107,27.759,28.453,23.558,23.784,25.658
21,24.540,23.827,26.614,30.173,29.384,23.855,25.491,25.962,28.081,21.224,29.434,19.121,24.166,19.540,40.846,25.192,25.008,22.748,26.269,22.090,27.738,28.442,23.576,23.824,25.681
22,24.571,23.866,26.621,30.156,29.370,23.854,25.476,25.993,28.055,21.471,29.427,19.082,24.120,19.537,40.797,25.183,25.041,22.750,26.197,22.074,27.719,28.417,23.559,23.807,25.641
23,24.601,23.904,26.630,30.143,29.431,23.853,25.476,25.990,28.057,22.014,29.422,19.117,24.188,19.518,40.804,25.169,25.074,22.809,26.265,22.115,27.731,28.433,23.551,23.833,25.687
24,24.555,23.856,26.594,30.149,29.370,23.804,25.478,25.944,28.040,22.579,29.383,19.093,24.167,19.508,40.811,25.168,25.032,22.750,26.211,22.067,27.718,28.390,23.536,23.781,25.647
25,24.556,23.827,26.597,30.140,29.334,23.805,25.458,25.939,27.996,22.585,29.380,19.060,24.097,19.534,40.732,25.137,25.021,22.709,26.191,22.035,27.703,28.435,23.520,23.756,25.640
26,24.558,23.842,26.592,30.150,29.343,23.772,25.444,25.924,28.038,22.163,29.391,19.100,24.119,19.496,40.741,25.217,24.987,22.725,26.186,22.035,27.705,28.396,23.511,23.763,25.617
