 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22
1,23.230,16.640,19.747,16.030,16.651,25.169,29.050,30.999,30.746,27.386,39.248,39.898,35.874,29.065,30.180,29.892,28.727,26.471,43.002,27.393,29.721,25.347
2,23.262,16.644,19.713,16.056,16.658,25.183,29.076,31.041,30.783,27.388,39.285,39.949,35.977,29.069,30.225,29.897,28.691,26.501,43.015,27.418,29.740,25.351
3,23.250,16.589,19.709,16.027,16.615,25.191,29.051,31.038,30.767,27.372,39.265,39.884,35.926,29.030,30.169,29.882,28.696,26.504,42.949,27.367,29.686,25.332
4,23.209,16.523,19.682,16.002,16.603,25.133,29.048,31.053,30.751,27.390,39.239,39.895,35.921,29.025,30.126,29.862,28.696,26.474,42.918,27.341,29.680,25.301
5,23.217,16.516,19.729,16.051,16.605,25.131,29.050,31.079,30.805,27.368,39.251,39.925,36.013,29.034,30.145,29.851,28.674,26.495,42.977,27.418,29.678,25.332
6,23.205,16.518,19.713,16.040,16.597,25.156,29.039,31.033,30.765,27.343,39.197,39.858,35.939,29.007,30.130,29.848,28.662,26.497,42.946,27.363,29.680,25.309
7,23.220,16.519,19.725,16.019,16.583,25.185,29.043,31.055,30.760,27.354,39.186,39.849,35.864,29.060,30.186,29.884,28.706,26.491,42.998,27.377,29.672,25.310
8,23.207,16.539,19.712,16.057,16.572,25.139,29.040,31.025,30.690,27.342,39.219,39.866,35.886,29.031,30.120,29.852,28.657,26.431,42.950,27.322,29.679,25.313
9,23.211,16.554,19.740,16.043,16.632,25.181,29.060,31.063,30.694,27.386,39.258,39.898,35.974,29.023,30.134,29.863,28.710,26.505,43.012,27.375,29.668,25.310
10,23.206,16.523,19.713,16.037,16.629,25.142,29.039,31.007,30.700,27.388,39.190,39.826,35.846,28.956,30.152,29.845,28.635,26.448,42.889,27.276,29.655,25.292
11,23.177,16.531,19.706,16.038,16.587,25.141,29.022,30.970,30.694,27.336,39.119,39.822,35.840,28.987,30.106,29.828,28.652,26.438,42.916,27.341,29.663,25.286
12,23.188,16.504,19.702,16.022,16.568,25.123,29.041,31.019,30.688,27.403,39.178,39.882,35.946,28.959,30.121,29.838,28.652,26.442,42.940,27.321,29.677,25.284
13,23.196,16.512,19.722,16.043,16.615,25.152,29.075,31.046,30.714,27.383,39.218,39.902,35.969,29.006,30.133,29.814,28.655,26.463,42.937,27.352,29.652,25.295
14,23.188,16.562,19.690,16.002,16.610,25.159,29.039,30.986,30.698,27.359,39.179,39.862,35.905,29.021,30.113,29.857,28.609,26.445,42.957,27.338,29.636,25.280
15,23.207,16.511,19.688,15.994,16.581,25.134,29.055,30.992,30.703,27.327,39.175,39.827,35.824,29.012,30.133,29.826,28.646,26.457,43.004,27.317,29.653,25.279
16,23.172,16.494,19.686,16.025,16.568,25.143,29.019,30.924,30.645,27.307,39.126,39.779,35.798,28.979,30.089,29.788,28.616,26.441,42.956,27.274,29.622,25.251
17,23.166,16.503,19.670,16.016,16.597,25.131,28.992,30.939,30.672,27.313,39.109,39.768,35.776,28.965,30.083,29.813,28.590,26.437,42.975,27.310,29.656,25.252
18,23.178,16.530,19.703,16.009,16.554,25.187,29.000,30.943,30.684,27.332,39.109,39.741,35.769,28.968,30.086,29.797,28.590,26.401,43.011,27.307,29.619,25.255
19,23.174,16.485,19.696,15.988,16.561,25.151,28.995,30.994,30.706,27.361,39.159,39.796,35.836,28.961,30.063,29.787,28.618,26.424,42.930,27.303,29.610,25.257
20,23.193,16.498,19.715,16.026,16.560,25.172,29.031,31.003,30.666,27.343,39.161,39.828,35.792,28.987,30.113,29.805,28.613,26.458,42.964,27.374,29.647,25.277
21,23.172,16.508,19.690,16.006,16.541,25.115,29.000,30.975,30.652,27.347,39.160,39.802,35.874,28.963,30.120,29.795,28.621,26.433,42.917,27.294,29.620,25.248
22,23.181,16.497,19.716,16.018,16.583,25.168,29.018,30.921,30.661,27.324,39.139,39.739,35.780,28.976,30.133,29.830,28.596,26.432,42.968,27.338,29.628,25.256
23,23.199,16.487,19.701,16.039,16.602,25.183,29.042,30.991,30.711,27.378,39.206,39.791,35.804,28.961,30.178,29.867,28.646,26.477,42.950,27.387,29.623,25.276
24,23.190,16.475,19.702,15.999,16.568,25.155,29.009,30.930,30.593,27.359,39.126,39.779,35.793,28.982,30.092,29.841,28.634,26.416,42.949,27.349,29.600,25.257
25,23.165,16.473,19.690,15.987,16.550,25.128,29.010,30.946,30.662,27.303,39.146,39.785,35.808,28.946,30.100,29.787,28.614,26.441,42.870,27.313,29.613,25.253
26,23.175,16.516,19.701,15.986,16.545,25.088,28.984,30.919,30.665,27.299,39.046,39.705,35.742,28.932,30.058,29.776,28.620,26.391,42.867,27.284,29.600,25.230
27,23.156,16.539,19.643,15.988,16.566,25.075,28.955,30.892,30.532,27.310,39.031,39.635,35.671,28.876,30.051,29.747,28.602,26.378,42.845,27.275,29.578,25.200
28,23.141,16.578,19.666,16.018,16.603,25.096,28.932,30.834,30.565,27.231,39.006,39.651,35.650,28.865,30.014,29.737,28.554,26.378,42.864,27.239,29.552,25.190
29,23.130,16.582,19.679,16.009,16.589,25.096,28.910,30.880,30.575,27.241,39.014,39.675,35.664,28.911,30.013,29.720,28.564,26.363,42.924,27.223,29.549,25.192
30,23.131,16.622,19.672,16.003,16.578,25.074,28.950,30.922,30.577,27.228,39.075,39.649,35.721,28.901,30.038,29.739,28.548,26.389,42.889,27.268,29.542,25.194
31,23.138,16.554,19.676,15.991,16.569,25.106,28.939,30.937,30.656,27.290,39.063,39.708,35.790,28.915,30.023,29.728,28.535,26.371,42.878,27.290,29.576,25.204
32,23.159,16.577,19.671,15.996,16.584,25.131,28.962,30.940,30.655,27.291,39.077,39.721,35.845,28.910,30.033,29.747,28.570,26.392,42.913,27.254,29.580,25.203
33,23.135,16.540,19.694,15.981,16.583,25.121,28.993,30.956,30.631,27.326,39.074,39.807,35.866,28.920,30.065,29.785,28.559,26.407,42.937,27.300,29.591,25.218
34,23.134,16.455,19.639,15.945,16.537,25.101,28.954,30.917,30.620,27.269,39.058,39.710,35.782,28.874,30.045,29.753,28.586,26.396,42.877,27.292,29.579,25.207
35,23.141,16.459,19.667,15.992,16.555,25.070,28.929,30.851,30.594,27.263,39.060,39.687,35.650,28.885,30.065,29.736,28.568,26.381,42.902,27.284,29.563,25.205
36,23.133,16.455,19.638,15.977,16.546,25.085,28.949,30.883,30.560,27.269,39.056,39.727,35.731,28.888,30.078,29.737,28.557,26.414,42.928,27.285,29.590,25.213
37,23.109,16.465,19.640,15.950,16.523,25.078,28.895,30.868,30.548,27.222,38.994,39.659,35.669,28.880,30.023,29.722,28.524,26.379,42.864,27.275,29.533,25.170
38,23.088,16.430,19.621,15.950,16.517,25.045,28.866,30.811,30.523,27.223,38.959,39.609,35.628,28.843,30.024,29.690,28.536,26.338,42.852,27.288,29.529,25.148
39,23.107,16.471,19.660,15.942,16.506,25.054,28.914,30.853,30.557,27.281,39.021,39.655,35.632,28.842,30.011,29.709,28.534,26.365,42.931,27.266,29.523,25.164
40,23.105,16.446,19.654,15.942,16.516,25.044,28.916,30.855,30.517,27.249,39.030,39.642,35.685,28.873,30.001,29.703,28.560,26.334,42.899,27.235,29.534,25.172
41,23.100,16.461,19.619,15.947,16.493,25.008,28.895,30.868,30.573,27.249,38.984,39.688,35.724,28.884,30.029,29.691,28.541,26.361,42.871,27.230,29.549,25.169
