time, dGoR #1, dGoR #2, dGoR #3, dGoR #4, dGoR #5, dGoR #6, dGoR #7, dGoR #8, dGoR #9, dGoR #10, dGoR #11, dGoR #12, dGoR #13, dGoR #14, dGoR #15, average
2.46872, 0.42156, 0.44006, 0.40411, 0.41692, 0.35706, 0.38336, 0.41816, 0.37588, 0.29374, 0.35961, 0.30352, 0.30480, 0.42860, 0.42111, 0.38633, 0.38099, 
2.48064, 0.39550, 0.41920, 0.39580, 0.39862, 0.40684, 0.37785, 0.38370, 0.30719, 0.30646, 0.35769, 0.33405, 0.35400, 0.35194, 0.38737, 0.36829, 0.36963, 
2.49257, 0.42865, 0.38706, 0.45912, 0.39520, 0.35246, 0.39131, 0.35555, 0.38314, 0.34061, 0.37964, 0.33130, 0.37881, 0.35402, 0.33145, 0.37668, 0.37633, 
2.50449, 0.36549, 0.39777, 0.38136, 0.39774, 0.42757, 0.42743, 0.33425, 0.34583, 0.38983, 0.35087, 0.33024, 0.29743, 0.44224, 0.30444, 0.38073, 0.37155, 
2.51642, 0.37753, 0.40744, 0.41832, 0.37739, 0.39699, 0.41814, 0.37260, 0.37986, 0.36503, 0.35815, 0.40468, 0.41536, 0.38740, 0.37488, 0.40291, 0.39044, 
2.52834, 0.42922, 0.41822, 0.36576, 0.42528, 0.34341, 0.36332, 0.38311, 0.35583, 0.33052, 0.41302, 0.37206, 0.34387, 0.38899, 0.34171, 0.36086, 0.37568, 
2.54026, 0.33140, 0.36628, 0.40355, 0.37140, 0.36795, 0.33345, 0.37398, 0.34923, 0.28808, 0.35636, 0.31444, 0.36371, 0.36290, 0.35675, 0.38061, 0.35467, 
2.55219, 0.37869, 0.42950, 0.43820, 0.38006, 0.43236, 0.30275, 0.35773, 0.27076, 0.35351, 0.39956, 0.33574, 0.34602, 0.44889, 0.38945, 0.30499, 0.37121, 
2.56411, 0.40939, 0.43188, 0.35876, 0.39186, 0.41218, 0.36839, 0.34021, 0.34668, 0.28062, 0.30224, 0.31951, 0.43554, 0.43363, 0.32605, 0.35268, 0.36731, 
2.57604, 0.40556, 0.40111, 0.42382, 0.41164, 0.40912, 0.37948, 0.37020, 0.39078, 0.38516, 0.40648, 0.33495, 0.39900, 0.33553, 0.28419, 0.31555, 0.37684, 
