Time(s),AnalogIn-1,AnalogIn-2,AnalogIn-3,AnalogIn-4,Sequence,TTL-1,TTL-2,TTL-3,TTL-4,AnalogOut-1,AnalogOut-2,AnalogOut-3,AnalogOut-4
0,15.0002,-5,-4.99985,2.47566,1,0,0,0,0,0,0,0,0,
0.00268817,1.44566,7.16025,2.49947,-4.99985,1,0,0,0,0,0,0,0,0,
0.00537634,1.44566,7.14209,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.00806452,1.44566,7.13385,2.49947,2.49886,0,0,0,0,0,0,0,0,0,
0.010745,1.44566,7.12165,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.0134332,1.44566,7.14057,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.0161213,1.44566,7.16056,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.0188095,1.44566,7.16788,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.02149,1.44566,7.14438,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.0241782,1.44566,7.13553,2.49947,2.4987,1,0,0,0,0,0,0,0,0,
0.0268663,1.44566,7.12073,2.49947,2.4987,1,0,0,0,0,0,0,0,0,
0.0295545,1.44566,7.15079,2.49947,2.4987,1,0,0,0,0,0,0,0,0,
0.032235,1.44566,7.15659,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.0349232,1.44566,7.17841,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.0376113,1.44566,7.15247,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.0402995,1.44566,7.13279,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.04298,1.44566,7.11859,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.0456682,1.44566,7.14408,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.0483563,1.44566,7.15766,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.0510445,1.44566,7.16666,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.053725,1.44566,7.16376,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.0564132,1.44566,7.13965,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.0591013,1.44566,7.13813,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.0617895,1.44566,7.13202,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.06447,1.44566,7.15552,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.0671582,1.44566,7.17322,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.0698463,1.44566,7.15796,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.0725345,1.44566,7.14576,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
