# time, t1_s1_1_f1, t1_s1_2_f1, t1_s1_3_f1, t2_s1_1_f1, t2_s1_2_f1, t2_s1_3_f1, t3_s1_1_f1, t3_s1_2_f1, t3_s1_3_f1
2.46872,1.08018,1.13019,1.52189,1.46308,1.90981,1.08365,0.93335,0.96357,0.96930
2.48064,1.08068,1.13118,1.52347,1.46183,1.90949,1.08350,0.93366,0.96308,0.96935
2.49257,1.08128,1.13220,1.52514,1.45995,1.90987,1.08463,0.93443,0.96289,0.96965
2.50449,1.08365,1.13284,1.52948,1.45762,1.91072,1.08472,0.93602,0.96254,0.97041
2.51642,1.08571,1.13346,1.53332,1.45665,1.91058,1.08661,0.93662,0.96251,0.97136
2.52834,1.08667,1.13486,1.53554,1.45556,1.91250,1.08769,0.93854,0.96262,0.97195
2.54026,1.08754,1.13559,1.53774,1.45436,1.91678,1.08869,0.93984,0.96442,0.97314
2.55219,1.08958,1.13520,1.53823,1.45582,1.91925,1.09064,0.94151,0.96734,0.97374
2.56411,1.09031,1.13482,1.53674,1.45681,1.92520,1.09184,0.94214,0.97078,0.97500
2.57604,1.09172,1.13360,1.53409,1.46011,1.93055,1.09380,0.94293,0.97615,0.97602
2.58796,1.09248,1.13087,1.53051,1.46380,1.93685,1.09451,0.94391,0.98170,0.97719
2.59988,1.09341,1.13005,1.52506,1.46832,1.94248,1.09587,0.94419,0.98844,0.97824
2.61181,1.09443,1.12825,1.51901,1.47376,1.94580,1.09517,0.94371,0.99524,0.97951
2.62373,1.09484,1.12698,1.51321,1.48077,1.95044,1.09550,0.94392,1.00159,0.98148
2.63565,1.09601,1.12711,1.51000,1.48721,1.94910,1.09386,0.94373,1.00770,0.98421
2.64758,1.09740,1.12806,1.50793,1.49478,1.95045,1.09212,0.94315,1.01270,0.98768
2.65950,1.09923,1.12829,1.50668,1.50246,1.94901,1.08915,0.94309,1.01656,0.99232
2.67143,1.10129,1.13090,1.50672,1.51147,1.95015,1.08503,0.94424,1.01945,0.99676
2.68335,1.10319,1.13359,1.50958,1.51867,1.94831,1.08022,0.94421,1.02133,1.00229
2.69527,1.10549,1.13661,1.51376,1.52710,1.94242,1.07526,0.94563,1.02156,1.00645
2.70720,1.10731,1.13831,1.51826,1.53525,1.94095,1.07046,0.94748,1.02088,1.01082
2.71912,1.10901,1.14040,1.52356,1.54319,1.93758,1.06603,0.94977,1.01948,1.01288
2.73105,1.11052,1.14325,1.52993,1.55300,1.93444,1.06216,0.95291,1.01716,1.01417
2.74297,1.11257,1.14424,1.53493,1.56159,1.92955,1.05947,0.95567,1.01493,1.01316
2.75489,1.11410,1.14566,1.53844,1.56958,1.92446,1.05771,0.95942,1.01247,1.01062
2.76682,1.11743,1.14471,1.54165,1.57728,1.92020,1.05723,0.96298,1.01056,1.00710
2.77874,1.11848,1.14469,1.54229,1.58449,1.91408,1.05943,0.96693,1.00919,1.00277
2.79067,1.12132,1.14314,1.54129,1.58957,1.91065,1.06221,0.97050,1.00821,0.99932
2.80259,1.12366,1.14284,1.53977,1.59636,1.90946,1.06610,0.97449,1.00834,0.99617
2.81451,1.12570,1.14037,1.53410,1.59912,1.90753,1.07088,0.97745,1.00916,0.99429
2.82644,1.12854,1.14000,1.52909,1.60264,1.90763,1.07656,0.97979,1.01056,0.99393
2.83836,1.12955,1.13777,1.52126,1.60638,1.90926,1.08288,0.98244,1.01276,0.99528
2.85028,1.13102,1.13552,1.51516,1.61241,1.91214,1.08785,0.98390,1.01482,0.99783
2.86221,1.13139,1.13490,1.50667,1.61785,1.91444,1.09325,0.98436,1.01675,1.00177
2.87413,1.13184,1.13384,1.50062,1.62703,1.91767,1.09746,0.98489,1.01943,1.00581
2.88606,1.13300,1.13265,1.49486,1.63618,1.92149,1.10111,0.98493,1.02180,1.01027
2.89798,1.13182,1.13174,1.49118,1.64574,1.92525,1.10282,0.98489,1.02485,1.01478
2.90990,1.13207,1.13122,1.48885,1.66010,1.92816,1.10282,0.98523,1.02821,1.01873
2.92183,1.13177,1.13164,1.48763,1.67214,1.93047,1.10097,0.98519,1.03190,1.02201
2.93375,1.13204,1.13164,1.49030,1.68336,1.93091,1.09877,0.98584,1.03619,1.02394
2.94568,1.13328,1.13299,1.49444,1.69221,1.93157,1.09650,0.98638,1.04103,1.02532
2.95760,1.13270,1.13373,1.49968,1.69875,1.93267,1.09318,0.98803,1.04625,1.02536
2.96952,1.13283,1.13688,1.50683,1.70266,1.93608,1.08920,0.99036,1.05191,1.02445
2.98145,1.13124,1.13904,1.51360,1.70179,1.93647,1.08561,0.99282,1.05766,1.02286
2.99337,1.12974,1.14284,1.52142,1.69701,1.93808,1.08306,0.99527,1.06245,1.02039
3.00530,1.12659,1.14699,1.52774,1.69270,1.94190,1.07924,0.99712,1.06770,1.01787
3.01722,1.12326,1.15130,1.53504,1.68571,1.94238,1.07612,0.99866,1.07132,1.01525
3.02914,1.11929,1.15601,1.54117,1.67815,1.94270,1.07317,0.99897,1.07419,1.01237
3.04107,1.11539,1.16016,1.54693,1.67564,1.94476,1.07126,0.99915,1.07625,1.00985
3.05299,1.11129,1.16399,1.54934,1.67282,1.94500,1.06943,0.99740,1.07659,1.00811
3.06492,1.10828,1.16590,1.55075,1.67071,1.94253,1.06884,0.99420,1.07610,1.00684
3.07684,1.10473,1.16751,1.55129,1.67310,1.93898,1.06996,0.98983,1.07412,1.00620
3.08876,1.10340,1.16823,1.54950,1.67751,1.93652,1.07159,0.98548,1.07150,1.00668
3.10069,1.10166,1.16788,1.54638,1.68009,1.92918,1.07467,0.98097,1.06792,1.00875
3.11261,1.10112,1.16373,1.54255,1.68375,1.92321,1.07941,0.97709,1.06365,1.01161
3.12453,1.10094,1.16028,1.53951,1.68878,1.91593,1.08482,0.97342,1.05864,1.01590
3.13646,1.10133,1.15641,1.53651,1.69201,1.91258,1.09058,0.97163,1.05318,1.02078
3.14838,1.10236,1.15246,1.53327,1.69398,1.90733,1.09670,0.97076,1.04796,1.02670
3.16031,1.10225,1.14823,1.53187,1.69530,1.90699,1.10213,0.97125,1.04246,1.03348
3.17223,1.10124,1.14454,1.53352,1.69687,1.90872,1.10657,0.97242,1.03804,1.04019
3.18415,1.10116,1.14207,1.53460,1.69635,1.91415,1.11084,0.97526,1.03382,1.04759
3.19608,1.10035,1.13928,1.53803,1.69706,1.92305,1.11301,0.97897,1.03131,1.05386
3.20800,1.10047,1.13634,1.54436,1.69545,1.93509,1.11404,0.98274,1.02971,1.05991
3.21993,1.09963,1.13465,1.55105,1.69344,1.94870,1.11410,0.98758,1.02892,1.06492
3.23185,1.10053,1.13252,1.55573,1.69329,1.96651,1.11359,0.99158,1.02956,1.06850
3.24377,1.10200,1.13141,1.56311,1.69099,1.98392,1.11195,0.99651,1.03070,1.07103
3.25570,1.10426,1.12974,1.56438,1.68845,2.00434,1.11052,1.00081,1.03267,1.07148
3.26762,1.10833,1.12828,1.56756,1.68865,2.02139,1.10889,1.00526,1.03510,1.07088
3.27955,1.11309,1.12710,1.56735,1.68685,2.03928,1.10696,1.00812,1.03844,1.06943
3.29147,1.11786,1.12610,1.56360,1.68542,2.05441,1.10630,1.01068,1.04153,1.06623
3.30339,1.12094,1.12592,1.56129,1.68675,2.06367,1.10420,1.01238,1.04608,1.06330
3.31532,1.12507,1.12547,1.55526,1.68607,2.06966,1.10275,1.01243,1.05046,1.05927
3.32724,1.12689,1.12325,1.55045,1.68626,2.07408,1.10032,1.01180,1.05549,1.05683
3.33916,1.12921,1.12228,1.54488,1.68642,2.07276,1.09846,1.01071,1.06083,1.05387
3.35109,1.12938,1.12050,1.53958,1.69024,2.06721,1.09734,1.00795,1.06665,1.05283
3.36301,1.13068,1.12152,1.53670,1.69290,2.05880,1.09373,1.00541,1.07183,1.05220
3.37494,1.13026,1.12037,1.53521,1.69476,2.04732,1.09179,1.00170,1.07728,1.05267
3.38686,1.13049,1.12152,1.53466,1.69997,2.03470,1.09056,0.99821,1.08190,1.05395
3.39878,1.12991,1.12142,1.53522,1.70550,2.02155,1.08989,0.99455,1.08597,1.05548
3.41071,1.12975,1.12274,1.53715,1.71457,2.00736,1.09065,0.99110,1.08930,1.05733
3.42263,1.12997,1.12534,1.54097,1.72321,1.99507,1.09395,0.98827,1.09237,1.05901
3.43456,1.12918,1.12673,1.54533,1.73261,1.98343,1.09831,0.98575,1.09476,1.05994
3.44648,1.12925,1.12779,1.54901,1.74399,1.97410,1.10413,0.98373,1.09719,1.06131
3.45840,1.12911,1.12914,1.55445,1.75345,1.96462,1.11117,0.98309,1.09903,1.06212
