# time, t1_s1_1_f1, t1_s1_2_f1, t1_s1_3_f1, t2_s1_1_f1, t2_s1_2_f1, t2_s1_3_f1, t3_s1_1_f1, t3_s1_2_f1, t3_s1_3_f1
2.46872,-0.03046,-0.02941,-0.03345,-0.33643,-0.07115,-0.02387,-0.06927,-0.12496,-0.09570
2.48064,-0.02996,-0.02842,-0.03187,-0.33768,-0.07147,-0.02402,-0.06896,-0.12546,-0.09565
2.49257,-0.02936,-0.02740,-0.03020,-0.33956,-0.07109,-0.02290,-0.06819,-0.12564,-0.09536
2.50449,-0.02699,-0.02676,-0.02587,-0.34189,-0.07025,-0.02280,-0.06660,-0.12599,-0.09459
2.51642,-0.02493,-0.02614,-0.02203,-0.34286,-0.07038,-0.02091,-0.06600,-0.12603,-0.09364
2.52834,-0.02397,-0.02474,-0.01980,-0.34395,-0.06846,-0.01983,-0.06408,-0.12591,-0.09306
2.54026,-0.02310,-0.02401,-0.01760,-0.34515,-0.06419,-0.01883,-0.06278,-0.12412,-0.09186
2.55219,-0.02106,-0.02440,-0.01712,-0.34369,-0.06171,-0.01688,-0.06111,-0.12120,-0.09127
2.56411,-0.02033,-0.02478,-0.01860,-0.34270,-0.05577,-0.01568,-0.06048,-0.11776,-0.09001
2.57604,-0.01892,-0.02600,-0.02125,-0.33940,-0.05042,-0.01372,-0.05969,-0.11238,-0.08899
2.58796,-0.01816,-0.02873,-0.02483,-0.33571,-0.04411,-0.01301,-0.05871,-0.10683,-0.08782
2.59988,-0.01723,-0.02955,-0.03028,-0.33119,-0.03848,-0.01165,-0.05843,-0.10009,-0.08677
2.61181,-0.01621,-0.03135,-0.03633,-0.32575,-0.03516,-0.01235,-0.05891,-0.09330,-0.08550
2.62373,-0.01580,-0.03262,-0.04213,-0.31875,-0.03053,-0.01203,-0.05870,-0.08694,-0.08353
2.63565,-0.01463,-0.03249,-0.04534,-0.31230,-0.03186,-0.01366,-0.05889,-0.08083,-0.08080
2.64758,-0.01324,-0.03154,-0.04741,-0.30473,-0.03051,-0.01541,-0.05948,-0.07583,-0.07733
2.65950,-0.01141,-0.03131,-0.04866,-0.29705,-0.03196,-0.01837,-0.05954,-0.07197,-0.07269
2.67143,-0.00935,-0.02870,-0.04862,-0.28804,-0.03081,-0.02249,-0.05838,-0.06908,-0.06825
2.68335,-0.00745,-0.02601,-0.04576,-0.28084,-0.03265,-0.02730,-0.05842,-0.06720,-0.06272
2.69527,-0.00516,-0.02299,-0.04158,-0.27241,-0.03854,-0.03226,-0.05699,-0.06697,-0.05855
2.70720,-0.00333,-0.02129,-0.03708,-0.26426,-0.04002,-0.03707,-0.05514,-0.06765,-0.05419
2.71912,-0.00163,-0.01920,-0.03179,-0.25632,-0.04338,-0.04150,-0.05285,-0.06905,-0.05213
2.73105,-0.00012,-0.01635,-0.02542,-0.24651,-0.04652,-0.04536,-0.04971,-0.07138,-0.05084
2.74297,0.00192,-0.01536,-0.02041,-0.23792,-0.05141,-0.04805,-0.04695,-0.07360,-0.05185
2.75489,0.00345,-0.01394,-0.01690,-0.22993,-0.05650,-0.04981,-0.04320,-0.07606,-0.05439
2.76682,0.00679,-0.01489,-0.01369,-0.22223,-0.06076,-0.05030,-0.03964,-0.07797,-0.05791
2.77874,0.00783,-0.01491,-0.01305,-0.21502,-0.06689,-0.04809,-0.03569,-0.07935,-0.06224
2.79067,0.01068,-0.01646,-0.01405,-0.20994,-0.07031,-0.04531,-0.03212,-0.08033,-0.06569
2.80259,0.01302,-0.01676,-0.01557,-0.20315,-0.07151,-0.04143,-0.02813,-0.08020,-0.06883
2.81451,0.01506,-0.01923,-0.02124,-0.20039,-0.07343,-0.03664,-0.02517,-0.07937,-0.07072
2.82644,0.01790,-0.01960,-0.02625,-0.19687,-0.07334,-0.03096,-0.02283,-0.07797,-0.07108
2.83836,0.01891,-0.02183,-0.03408,-0.19313,-0.07170,-0.02464,-0.02019,-0.07577,-0.06973
2.85028,0.02038,-0.02408,-0.04018,-0.18710,-0.06882,-0.01967,-0.01872,-0.07372,-0.06718
2.86221,0.02075,-0.02470,-0.04867,-0.18166,-0.06652,-0.01428,-0.01827,-0.07179,-0.06323
2.87413,0.02120,-0.02576,-0.05473,-0.17248,-0.06329,-0.01007,-0.01773,-0.06911,-0.05919
2.88606,0.02236,-0.02695,-0.06049,-0.16333,-0.05947,-0.00641,-0.01769,-0.06673,-0.05473
2.89798,0.02118,-0.02786,-0.06416,-0.15377,-0.05571,-0.00470,-0.01773,-0.06368,-0.05022
2.90990,0.02143,-0.02838,-0.06649,-0.13941,-0.05280,-0.00470,-0.01739,-0.06033,-0.04628
2.92183,0.02113,-0.02796,-0.06772,-0.12737,-0.05049,-0.00655,-0.01744,-0.05663,-0.04300
2.93375,0.02139,-0.02796,-0.06504,-0.11615,-0.05006,-0.00875,-0.01678,-0.05235,-0.04106
2.94568,0.02264,-0.02661,-0.06090,-0.10730,-0.04939,-0.01102,-0.01624,-0.04751,-0.03969
2.95760,0.02205,-0.02587,-0.05566,-0.10076,-0.04829,-0.01434,-0.01459,-0.04228,-0.03964
2.96952,0.02219,-0.02272,-0.04851,-0.09685,-0.04488,-0.01832,-0.01226,-0.03662,-0.04055
2.98145,0.02060,-0.02056,-0.04174,-0.09772,-0.04449,-0.02192,-0.00980,-0.03087,-0.04215
2.99337,0.01909,-0.01676,-0.03392,-0.10250,-0.04288,-0.02447,-0.00736,-0.02608,-0.04462
3.00530,0.01595,-0.01261,-0.02761,-0.10681,-0.03906,-0.02829,-0.00550,-0.02083,-0.04714
3.01722,0.01262,-0.00830,-0.02031,-0.11380,-0.03858,-0.03141,-0.00397,-0.01721,-0.04975
3.02914,0.00865,-0.00359,-0.01417,-0.12136,-0.03826,-0.03435,-0.00366,-0.01435,-0.05264
3.04107,0.00475,0.00056,-0.00841,-0.12387,-0.03621,-0.03626,-0.00347,-0.01229,-0.05515
3.05299,0.00064,0.00439,-0.00600,-0.12669,-0.03597,-0.03809,-0.00522,-0.01194,-0.05690
3.06492,-0.00236,0.00630,-0.00459,-0.12880,-0.03843,-0.03868,-0.00842,-0.01244,-0.05817
3.07684,-0.00592,0.00791,-0.00405,-0.12641,-0.04198,-0.03756,-0.01279,-0.01442,-0.05881
3.08876,-0.00725,0.00863,-0.00584,-0.12200,-0.04444,-0.03593,-0.01715,-0.01703,-0.05832
3.10069,-0.00899,0.00828,-0.00896,-0.11942,-0.05178,-0.03285,-0.02165,-0.02061,-0.05626
3.11261,-0.00952,0.00413,-0.01279,-0.11576,-0.05775,-0.02811,-0.02553,-0.02488,-0.05339
3.12453,-0.00970,0.00068,-0.01583,-0.11073,-0.06504,-0.02270,-0.02920,-0.02990,-0.04910
3.13646,-0.00931,-0.00319,-0.01883,-0.10750,-0.06838,-0.01694,-0.03100,-0.03535,-0.04422
3.14838,-0.00828,-0.00714,-0.02207,-0.10553,-0.07364,-0.01082,-0.03186,-0.04058,-0.03830
3.16031,-0.00839,-0.01137,-0.02347,-0.10421,-0.07397,-0.00539,-0.03138,-0.04607,-0.03152
3.17223,-0.00940,-0.01506,-0.02182,-0.10264,-0.07225,-0.00095,-0.03020,-0.05049,-0.02482
3.18415,-0.00948,-0.01753,-0.02074,-0.10316,-0.06681,0.00332,-0.02737,-0.05471,-0.01742
3.19608,-0.01029,-0.02032,-0.01731,-0.10245,-0.05791,0.00549,-0.02365,-0.05722,-0.01115
3.20800,-0.01017,-0.02326,-0.01098,-0.10406,-0.04587,0.00652,-0.01989,-0.05883,-0.00509
3.21993,-0.01101,-0.02495,-0.00429,-0.10607,-0.03226,0.00658,-0.01504,-0.05961,-0.00009
3.23185,-0.01011,-0.02708,0.00039,-0.10622,-0.01446,0.00607,-0.01104,-0.05898,0.00350
3.24377,-0.00864,-0.02819,0.00777,-0.10852,0.00295,0.00443,-0.00611,-0.05783,0.00602
3.25570,-0.00638,-0.02986,0.00904,-0.11106,0.02337,0.00300,-0.00181,-0.05586,0.00647
3.26762,-0.00232,-0.03132,0.01221,-0.11086,0.04042,0.00137,0.00264,-0.05343,0.00588
3.27955,0.00244,-0.03250,0.01201,-0.11266,0.05832,-0.00056,0.00550,-0.05010,0.00443
3.29147,0.00722,-0.03350,0.00825,-0.11409,0.07345,-0.00122,0.00805,-0.04700,0.00122
3.30339,0.01030,-0.03368,0.00595,-0.11276,0.08271,-0.00332,0.00976,-0.04246,-0.00170
3.31532,0.01442,-0.03413,-0.00009,-0.11344,0.08870,-0.00478,0.00980,-0.03807,-0.00574
3.32724,0.01625,-0.03635,-0.00490,-0.11325,0.09312,-0.00721,0.00918,-0.03304,-0.00818
