# time, t1_s1_1_f1, t1_s1_2_f1, t1_s1_3_f1, t2_s1_1_f1, t2_s1_2_f1, t2_s1_3_f1, t3_s1_1_f1, t3_s1_2_f1, t3_s1_3_f1
2.46872,483.33333,515.44444,745.00000,554.12500,808.50000,808.14286,1316.88889,1213.11111,1198.90000
2.48064,483.77778,515.88889,745.50000,553.87500,807.75000,807.71429,1316.22222,1212.22222,1197.70000
2.49257,484.11111,516.33333,746.00000,553.50000,806.75000,807.42857,1315.00000,1210.88889,1195.60000
2.50449,485.11111,516.88889,746.70000,553.25000,805.25000,806.57143,1313.55556,1209.11111,1192.50000
2.51642,486.11111,517.44444,747.70000,553.12500,803.25000,806.42857,1311.22222,1207.00000,1188.80000
2.52834,487.22222,518.22222,747.90000,553.00000,801.50000,806.14286,1308.33333,1205.00000,1184.20000
2.54026,488.44444,518.88889,747.80000,553.00000,799.75000,806.42857,1304.88889,1203.77778,1179.60000
2.55219,489.66667,519.44444,747.20000,553.50000,798.00000,807.57143,1300.55556,1203.44444,1174.80000
2.56411,491.00000,519.55556,745.60000,554.12500,796.25000,808.85714,1296.11111,1203.88889,1170.40000
2.57604,492.00000,519.44444,743.60000,555.12500,794.37500,810.57143,1291.33333,1205.55556,1165.90000
2.58796,492.88889,519.00000,741.10000,556.00000,792.75000,812.57143,1286.44444,1207.66667,1161.90000
2.59988,493.55556,518.44444,738.20000,557.12500,790.87500,814.71429,1281.77778,1211.00000,1158.40000
2.61181,493.66667,517.77778,734.80000,558.25000,789.00000,816.28571,1277.33333,1214.77778,1155.60000
2.62373,493.55556,516.77778,731.80000,559.37500,787.12500,818.00000,1273.88889,1218.66667,1153.50000
2.63565,493.66667,516.00000,729.00000,560.37500,785.00000,818.42857,1270.66667,1222.77778,1152.40000
2.64758,493.22222,515.44444,726.50000,561.25000,783.50000,818.14286,1268.44444,1226.44444,1152.30000
2.65950,493.00000,514.77778,724.40000,561.87500,782.00000,816.85714,1266.66667,1229.66667,1153.00000
2.67143,492.77778,514.66667,722.50000,563.00000,780.87500,814.28571,1265.55556,1232.33333,1154.30000
2.68335,492.66667,514.55556,721.40000,563.87500,780.00000,811.57143,1264.22222,1234.11111,1156.10000
2.69527,492.77778,514.44444,720.20000,565.00000,779.00000,808.14286,1263.33333,1235.22222,1158.00000
2.70720,492.77778,514.55556,719.60000,566.50000,778.37500,804.28571,1262.33333,1235.44444,1159.70000
2.71912,493.00000,514.44444,719.10000,568.25000,777.50000,800.85714,1261.00000,1235.22222,1160.60000
2.73105,493.22222,514.55556,718.60000,570.62500,776.50000,797.42857,1259.66667,1234.55556,1161.00000
2.74297,493.66667,514.22222,718.10000,573.25000,775.00000,795.00000,1257.88889,1233.44444,1160.20000
2.75489,493.77778,513.77778,717.20000,575.87500,773.75000,793.14286,1256.11111,1232.33333,1158.90000
2.76682,494.11111,512.88889,716.50000,578.75000,772.25000,792.28571,1254.55556,1231.66667,1157.40000
2.77874,494.11111,512.11111,715.50000,581.62500,770.87500,792.71429,1253.44444,1231.11111,1155.60000
2.79067,493.88889,511.00000,713.70000,584.50000,770.25000,793.71429,1253.11111,1230.77778,1154.10000
2.80259,493.44444,510.00000,712.00000,587.50000,770.37500,796.00000,1253.55556,1231.00000,1153.40000
2.81451,493.00000,508.77778,709.50000,590.00000,771.12500,798.28571,1254.77778,1231.22222,1153.10000
2.82644,492.44444,508.00000,706.70000,592.62500,772.62500,801.28571,1256.77778,1231.66667,1153.60000
2.83836,491.66667,507.00000,703.90000,595.25000,774.87500,804.28571,1259.33333,1232.00000,1154.70000
2.85028,491.11111,506.22222,701.30000,598.25000,777.37500,807.00000,1262.22222,1232.00000,1156.20000
2.86221,490.44444,505.88889,698.50000,600.75000,780.00000,809.28571,1265.22222,1231.88889,1157.80000
2.87413,490.22222,505.77778,696.60000,603.75000,782.62500,810.85714,1268.11111,1231.88889,1159.20000
2.88606,490.44444,505.55556,695.00000,606.62500,784.62500,811.85714,1270.33333,1231.66667,1160.20000
2.89798,490.44444,505.55556,694.50000,609.50000,785.62500,811.71429,1272.33333,1231.77778,1160.80000
2.90990,491.00000,505.66667,694.60000,612.50000,785.50000,811.00000,1273.22222,1232.55556,1160.60000
2.92183,491.66667,506.22222,695.50000,615.00000,784.75000,809.28571,1273.44444,1233.77778,1160.50000
2.93375,492.33333,506.55556,697.60000,617.25000,783.12500,807.14286,1272.55556,1236.22222,1159.20000
2.94568,493.33333,507.44444,700.10000,618.87500,780.62500,804.71429,1271.11111,1239.44444,1157.70000
2.95760,493.77778,508.33333,703.30000,619.75000,777.75000,802.00000,1269.33333,1243.77778,1155.80000
2.96952,494.55556,509.55556,706.60000,619.62500,775.12500,799.00000,1267.00000,1248.88889,1153.80000
2.98145,495.00000,510.77778,710.10000,619.00000,772.62500,796.00000,1264.22222,1254.22222,1151.60000
2.99337,495.22222,512.55556,713.00000,617.37500,770.75000,793.42857,1261.33333,1259.44444,1149.50000
