# time, t1_s1_1_f1, t1_s1_2_f1, t1_s1_3_f1, t2_s1_1_f1, t2_s1_2_f1, t2_s1_3_f1, t3_s1_1_f1, t3_s1_2_f1, t3_s1_3_f1
2.46872,452.55556,463.00000,484.60000,363.75000,411.62500,774.71429,1469.77778,1286.77778,1245.50000
2.48064,452.88889,463.11111,484.40000,363.87500,411.00000,774.14286,1468.33333,1285.44444,1244.20000
2.49257,453.33333,463.22222,484.20000,364.00000,410.37500,772.71429,1465.44444,1283.22222,1241.90000
2.50449,453.77778,463.44444,483.40000,364.37500,409.37500,771.14286,1460.88889,1280.00000,1238.40000
2.51642,454.22222,463.77778,482.70000,364.62500,408.00000,769.00000,1455.77778,1275.77778,1234.40000
2.52834,454.88889,463.77778,482.00000,365.00000,406.62500,767.00000,1449.22222,1271.44444,1230.10000
2.54026,455.66667,464.00000,481.10000,365.50000,404.87500,765.42857,1442.44444,1266.66667,1225.20000
2.55219,456.00000,464.33333,480.20000,366.00000,403.37500,763.85714,1434.88889,1261.88889,1220.70000
2.56411,456.33333,464.00000,479.40000,366.62500,401.62500,763.00000,1427.77778,1257.77778,1216.10000
2.57604,456.11111,463.88889,478.70000,367.25000,399.87500,762.14286,1420.55556,1253.44444,1211.20000
2.58796,455.66667,463.66667,477.80000,367.62500,398.37500,762.14286,1413.22222,1249.88889,1206.50000
2.59988,455.00000,463.11111,477.30000,368.00000,396.87500,762.14286,1406.44444,1246.44444,1201.50000
2.61181,453.88889,462.66667,476.50000,368.25000,395.75000,762.71429,1400.66667,1243.66667,1196.40000
2.62373,452.77778,461.77778,476.10000,368.00000,394.62500,763.00000,1395.22222,1241.33333,1190.70000
2.63565,451.55556,461.00000,475.20000,367.75000,394.12500,763.28571,1390.44444,1239.66667,1185.10000
2.64758,450.00000,460.00000,474.40000,367.00000,393.50000,763.42857,1386.66667,1238.55556,1179.20000
2.65950,448.77778,459.11111,473.40000,366.00000,393.37500,763.00000,1383.44444,1237.77778,1173.20000
2.67143,447.33333,458.00000,472.20000,364.75000,393.00000,762.14286,1380.33333,1237.55556,1167.80000
2.68335,446.44444,456.88889,470.80000,363.87500,393.00000,761.71429,1378.00000,1237.55556,1162.50000
2.69527,445.55556,455.33333,469.10000,362.75000,393.50000,760.57143,1375.33333,1238.00000,1158.40000
2.70720,444.88889,454.33333,467.40000,361.87500,393.50000,759.28571,1372.55556,1238.22222,1154.50000
